Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy
0.6434610075914424,0.9839538944382188,0.6337836689608296,0.9846027180878014,0.6337836689608293,0.6434610075914424,0.638585676983006,0.04137148322763238,0.02662093628320479,0.04200319065786797,0.8137074510148306
0.9073419272210931,0.986797720611112,0.9099514156475123,0.9863818085842073,0.9099514156475121,0.9073419272210931,0.9086447979255831,0.12818664277837064,0.11630911550252862,0.12781903901953295,0.9470698239161026
0.8813901345291479,0.9987125226215215,0.9171721885207654,0.998082687282309,0.9171721885207653,0.8813901345291479,0.8989252229590671,0.015917599654523846,0.014029615300881893,0.015296599129885471,0.9400513285753347
0.7543023563674874,0.9880198763678021,0.7262916383412648,0.9896283878178262,0.7262916383412644,0.7543023563674874,0.7400320360188753,0.04043998244067482,0.03050397404646083,0.04199962168933556,0.8711611163676447
0.8275862068965517,0.9997964423842668,0.7164179104477717,0.9998928540815452,0.7164179104477612,0.8275862068965517,0.768,6.210005246383742e-4,5.139314686662408e-4,7.173626750132944e-4,0.9136913246404093
0.7745516652433817,0.997340301096631,0.7105366235801047,0.9980982567353408,0.7105366235801018,0.7745516652433817,0.7411644535240041,0.008358524302891222,0.006474108917781672,0.00911157666322856,0.8859459831700063
0.8669138854552946,0.9966875769478807,0.8747228381374738,0.9964502503873953,0.8747228381374723,0.8669138854552946,0.8708008553493828,0.0259856598844368,0.022527329376536887,0.02575367692983051,0.9318007312015877
0.787917737789203,0.998815663390002,0.7879177377892037,0.998815663390002,0.787917737789203,0.787917737789203,0.787917737789203,0.005553315036421324,0.004375555420727855,0.005553315036421324,0.8933667005896025
0.8380979337673365,0.9868414448155369,0.8390478889203735,0.9867500067562611,0.8390478889203741,0.8380979337673365,0.8385726423109601,0.07565499494990953,0.06340629494669746,0.07556933970513181,0.9124696892914368
0.8087196868821369,0.9851535162838696,0.9213036383277022,0.9599423704179413,0.9213036383277023,0.8087196868821369,0.861348374966425,0.17689949427715895,0.14306210362143237,0.1552822518763852,0.8969366015830033
0.9419808405438813,0.9968194455358111,0.9348309438012722,0.9971888452180423,0.9348309438012727,0.9419808405438813,0.9383922730596067,0.0461967286834432,0.04351643331560746,0.04655005656815124,0.9694001430398462
0.876303317535545,0.9991477364671699,0.8863854266538888,0.9990615122956272,0.886385426653883,0.876303317535545,0.8813155386081982,0.007530523603373389,0.006599022816415828,0.007444868358595682,0.9377255270013575
0.7676823638042475,0.9928633296697698,0.6794704151683549,0.9954100155067044,0.6794704151683557,0.7676823638042475,0.7208878869331484,0.019325964602970095,0.014836202189205297,0.021834949481250424,0.8802728467370087
0.8194444444444444,0.9998357430306839,0.7195121951219302,0.9999071524734938,0.7195121951219512,0.8194444444444444,0.7662337662337662,5.139314686662408e-4,4.211382868237251e-4,5.853108393143298e-4,0.9096400937375642
0.16,0.9999107678250193,0.13793103448280472,0.9999250439028569,0.13793103448275862,0.16,0.14814814814814817,8.922421331011124e-5,1.4275874129617798e-5,1.0350008743972905e-4,0.5799553839125097
0.9411764705882353,0.9977157215464565,0.0243902439024388,0.9999964226560348,0.024390243902439025,0.9411764705882353,0.04754829123328381,6.067246505087565e-5,5.7103496518471193e-5,0.002341243357257319,0.9694460960673459
0.6158125915080527,0.9866660813643398,0.5357279327474213,0.9903650557020217,0.5357279327474207,0.6158125915080527,0.5729854914515359,0.024376055076322393,0.015011081647293116,0.028019971947907334,0.8012393364361963
0.6553911205073996,0.9988273988273988,0.4858934169278925,0.9994169304787967,0.48589341692789967,0.6553911205073996,0.558055805580558,0.0016881221158273048,0.0011063802450453795,0.002277001923674039,0.8271092596673992
0.8219126506024096,0.996955360906834,0.7209379128137361,0.9982934353183123,0.7209379128137384,0.8219126506024096,0.7681210415200562,0.009479180422066219,0.007791058306238914,0.010806836716120673,0.9094340057546217
0.8937031942534006,0.9918384767153238,0.842882882882882,0.9947769208239774,0.8428828828828829,0.8937031942534006,0.8675494232409777,0.04670352221504463,0.04173908698647004,0.04951943838711174,0.9427708354843622
0.40625,0.9987660282203981,0.417229729729724,0.9987088744317795,0.4172297297297297,0.40625,0.4116666666666666,0.0021699328677019054,8.815352275038991e-4,0.0021128293711834343,0.702508014110199
0.9306028031024629,0.9867584699453552,0.9404934973085538,0.9844302654705156,0.9404934973085537,0.9306028031024629,0.9355220088914945,0.1835984482124821,0.17085723055179822,0.1816676362364513,0.9586806365239091
0.7495646116335771,0.9938086412185113,0.5562160765055562,0.9973979820790088,0.556216076505557,0.7495646116335771,0.6385756676557864,0.010246508656533175,0.007680420281734376,0.013808339251872817,0.8716866264260442
0.8238131122833459,0.9941292157421826,0.7729072398190032,0.9957198457826384,0.7729072398190046,0.8238131122833459,0.7975486977456775,0.023680106212503525,0.019507981998122724,0.025239745461164267,0.9089711640127642
0.8588694447941584,0.9962718089990817,0.870486155416614,0.9958840635051183,0.8704861554166134,0.8588694447941584,0.864638783269962,0.028348317052888546,0.024347503328063156,0.027970006388453674,0.9275706268966201
0.8297872340425532,0.999928608654059,0.6610169491525901,0.9999714422383573,0.6610169491525424,0.8297872340425532,0.7358490566037736,1.6774152102300914e-4,1.3918977276377353e-4,2.1056914341186254e-4,0.9148579213483061
0.6666666666666666,0.9994425963575816,0.5806451612903265,0.9996140389749161,0.5806451612903226,0.6666666666666666,0.6206896551724138,0.0011563458044990416,7.708972029993611e-4,0.0013276562940544552,0.8330546315121241
